"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVN","Slovenia","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2015","2015","PC","Percentage","0","Units",,,4.368932,"N","Non-publishable, but non-confidential value"
"ZAF","South Africa","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2010","2010","PC","Percentage","0","Units",,,8.975767,,
"ZAF","South Africa","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2011","2011","PC","Percentage","0","Units",,,9.584953,,
"ZAF","South Africa","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2012","2012","PC","Percentage","0","Units",,,11.02073,,
"ZAF","South Africa","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2013","2013","PC","Percentage","0","Units",,,9.562366,,
"ZAF","South Africa","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2014","2014","PC","Percentage","0","Units",,,8.564226,,
"ZAF","South Africa","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2015","2015","PC","Percentage","0","Units",,,9.20205,,
"ZAF","South Africa","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2016","2016","PC","Percentage","0","Units",,,9.49103,,
"ZAF","South Africa","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2010","2010","PC","Percentage","0","Units",,,8.079184,,
"ZAF","South Africa","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2011","2011","PC","Percentage","0","Units",,,6.590148,,
"ZAF","South Africa","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2012","2012","PC","Percentage","0","Units",,,6.308273,,
"ZAF","South Africa","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2013","2013","PC","Percentage","0","Units",,,6.045562,,
"ZAF","South Africa","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2014","2014","PC","Percentage","0","Units",,,4.934306,,
"ZAF","South Africa","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2015","2015","PC","Percentage","0","Units",,,6.296112,,
"ZAF","South Africa","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2016","2016","PC","Percentage","0","Units",,,6.547613,,
"AUT","Austria","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2000","2000","PC","Percentage","0","Units",,,5.809768,"N","Non-publishable, but non-confidential value"
"AUT","Austria","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2001","2001","PC","Percentage","0","Units",,,5.243742,"N","Non-publishable, but non-confidential value"
"AUT","Austria","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2003","2003","PC","Percentage","0","Units",,,5.302624,"N","Non-publishable, but non-confidential value"
"AUT","Austria","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2004","2004","PC","Percentage","0","Units",,,5.781938,"N","Non-publishable, but non-confidential value"
"AUT","Austria","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2005","2005","PC","Percentage","0","Units",,,5.095375,"N","Non-publishable, but non-confidential value"
"AUT","Austria","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2006","2006","PC","Percentage","0","Units",,,5.005187,"N","Non-publishable, but non-confidential value"
"AUT","Austria","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2007","2007","PC","Percentage","0","Units",,,4.812967,"N","Non-publishable, but non-confidential value"
"AUT","Austria","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2008","2008","PC","Percentage","0","Units",,,5.32646,"N","Non-publishable, but non-confidential value"
"AUT","Austria","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2009","2009","PC","Percentage","0","Units",,,5.429864,"N","Non-publishable, but non-confidential value"
"AUT","Austria","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2010","2010","PC","Percentage","0","Units",,,5.637685,"N","Non-publishable, but non-confidential value"
"AUT","Austria","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2011","2011","PC","Percentage","0","Units",,,3.767123,"N","Non-publishable, but non-confidential value"
"AUT","Austria","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2012","2012","PC","Percentage","0","Units",,,4.548789,"N","Non-publishable, but non-confidential value"
